'((6uwHO5'		'37'	'2'	'01'	'656038'	'1'	'БАРНАУЛ'	'ПР.КОМСОМОЛЬСКИЙ,106-А'	'040173001'	'АЛТАЙСКИЙ БАНК СБЕРБАНКА РФ'	'АЛТАЙСКИЙ БАНК СБЕРБАНКА РФ'	'040173604'	'600164104'	'101062'	'02'			'(83852)399211,399466'	'1481/16'	'09101903'	02.07.04		'30101810200000000604'	15.11.94		
'UMClKn(x'		'30'	'2'	'01'	'656064'	'1'	'БАРНАУЛ'	'УЛ.АВТОТРАНСПОРТНАЯ,43А'	'040173001'	'БАРНАУЛЬСКИЙ Ф-Л БАНКА"ВОЗРОЖДЕНИЕ"(ОАО)'	'ВОЗРОЖДЕНИЕ'	'040173735'	'700161735'	'101062'	'01'			'(3852)416638,416762'	'1439/38'	'20987014'	27.10.03		'30101810700000000735'	20.01.94		
'F|S56sZJ'		'20'	'2'	'01'	'656056'	'1'	'БАРНАУЛ'	'УЛ.М.ГОРЬКОГО,39'	'040173001'	'ОАО КБ "ФОРБАНК"'	'ФОРБАНК'	'040173743'	'700161243'	'101062'	'01'			'(3852)232474,231547'	'2063'	'21417572'	27.10.03		'30101810200000000743'	20.01.94		
'A>nsn8Lk'		'20'	'2'	'01'	'656038'	'1'	'БАРНАУЛ'	'УЛ.К.МАРКСА,1'	'040173001'	'"СИБСОЦБАНК" ООО'	'СИБСОЦБАНК'	'040173745'	'700161845'	'101062'	'01'			'(3852)370201,370209'	'2015'	'20986262'	29.01.07		'30101810800000000745'	20.01.94		
'yPZj*-=D'		'20'	'2'	'01'	'656056'	'1'	'БАРНАУЛ'	'УЛ.АНАТОЛИЯ,6'	'040173001'	'АКБ "ЗЕРНОБАНК"'	'ЗЕРНОБАНК'	'040173754'	'700161654'	'101062'	'00'			'(3852)249671'	'2337'	'27089962'	27.10.03		'30101810600000000754'	20.01.94		
'l*oI9+hL'		'40'	'2'	'01'	'658100'	'1'	'АЛЕЙСК 4'		'040173001'	'ПУ БАНКА РОССИИ СТЕПНОЕ'	'БАНКА РОССИИ СТЕПНОЕ'	'040180002'		'101727'	'00'			'(38553)20331,21403'			14.01.05			20.01.94		
'#Gdy@feL'		'40'	'2'	'01'	'658076'	'2'	'СИБИРСКИЙ'		'040173001'	'ПУ БАНКА РОССИИ ШОЛОХОВСКОЕ'	'БАНКА РОССИИ ШОЛОХОВСКОЕ'	'040181002'		'101749'	'00'			'(38532)50476'			27.01.05			20.01.94		
'1k<p?!ek'	'ИСКЛ'	'10'	'3'	'03'	'354340'	'1'	'АДЛЕР'	'УЛ.МОЛОКОВА,1'	'040349001'	'РКЦ АДЛЕР'	'АДЛЕР'	'040303000'		'141033'	'02'	'191368'		'(8622)443751,443715'		'26965120'	06.08.07			20.01.94	01.12.07	'vsq=XR@s'
'719r63lT'		'10'	'3'	'03'	'353440'	'1'	'АНАПА'	'УЛ.ПУШКИНА,15'	'040349001'	'РКЦ АНАПА'	'АНАПА'	'040304000'		'141044'	'02'	'711113'		'(86133)45237,46915'		'26965137'	15.11.04			20.01.94		
'jElzGX)r'	'ЗСЧТ'	'30'	'2'	'03'	'353440'	'1'	'АНАПА'	'УЛ.ТЕРСКАЯ,119'	'040304000'	'АНАПСКИЙ ФИЛИАЛ ОАО АКБ "УРАЛСИБ-ЮГ БАНК"'	'УРАЛСИБ-ЮГ БАНК'	'040304793'	'700161593'	'141903'	'01'	'711148'		'(8233)40514,45668'	'457/2'	'09141908'	21.11.07		'30101810500000000793'	20.01.94	26.11.07	'GNq!GSTs'
